AGORA ID,Official name,Casual name,Link to document,Authority,Collections,Most recent activity,Most recent activity date,Proposed date,Annotated?,Validated?,Primarily applies to the government,Primarily applies to the private sector,Short summary,Long summary,Tags,Summaries and tags may include unreviewed machine output,Official plaintext retrieved,Official plaintext source,Official plaintext unavailable/infeasible,Official pdf source,Official pdf retrieved,Number of segments created,Applications: Agriculture and resource extraction,"Applications: Arts, sports, leisure, travel, and lifestyle",Applications: Broadcasting and media production,Applications: Business services and analytics,Applications: Construction and field services,Applications: Consumer goods,Applications: Education,Applications: Energy and utilities,Applications: Finance and investment,Applications: Government: benefits and welfare,Applications: Government: judicial and law enforcement,Applications: Government: military and public safety,Applications: Government: other applications/unspecified,Applications: Manufacturing and process automation,"Applications: Medicine, life sciences and public health",Applications: Networking and telecommunications,"Applications: Sales, retail, and customer relations",Applications: Security,Applications: Transportation,Harms: Detrimental content,Harms: Discrimination,Harms: Ecological harm,Harms: Financial loss,Harms: Harm to health/safety,Harms: Harm to infrastructure,Harms: Harm to property,"Harms: Violation of civil or human rights, including privacy",Incentives: Access to business opportunities,Incentives: Civil liability,Incentives: Criminal liability,Incentives: Fines,Incentives: Imprisonment,Incentives: Subsidies,Risk factors: Bias,Risk factors: Interpretability and explainability,Risk factors: Privacy,Risk factors: Reliability,Risk factors: Reliability: Robustness,Risk factors: Safety,Risk factors: Security,Risk factors: Security: Cybersecurity,Risk factors: Security: Dissemination,Risk factors: Transparency,Strategies: Convening,Strategies: Disclosure,Strategies: Disclosure: About evaluation,Strategies: Disclosure: About incidents,Strategies: Disclosure: About inputs,Strategies: Disclosure: Accuracy thereof,Strategies: Disclosure: In deployment,Strategies: Disclosure: In standard form,Strategies: Evaluation,Strategies: Evaluation: Adversarial testing,Strategies: Evaluation: Conformity assessment,Strategies: Evaluation: External auditing,Strategies: Evaluation: Impact assessment,Strategies: Evaluation: Post-market monitoring,Strategies: Governance development,Strategies: Government study or report,Strategies: Government support,Strategies: Government support: AI workforce-related,Strategies: Government support: For R&D,Strategies: Input controls,Strategies: Input controls: Compute circulation,Strategies: Input controls: Compute use,Strategies: Input controls: Data circulation,Strategies: Input controls: Data use,"Strategies: Licensing, registration, and certification",Strategies: New institution,Strategies: Performance requirements,Strategies: Pilots and testbeds,Strategies: Tiering,Strategies: Tiering: Tiering based on domain of application,Strategies: Tiering: Tiering based on generality,Strategies: Tiering: Tiering based on impact,Strategies: Tiering: Tiering based on inputs,Strategies: Tiering: Tiering based on planning ability
444,CREATE AI Act of 2023,,https://www.congress.gov/bill/118th-congress/senate-bill/2714,United States Congress,U.S. federal laws,Proposed,2023-07-27,2023-07-27,false,false,false,false,"Establishes the National Artificial Intelligence Research Resource (NAIRR) to democratize access to AI resources, enhance U.S. AI research capacity, and foster diverse talent. Creates a steering subcommittee and program office to oversee governance, resource allocation, and compliance with privacy and ethical standards.","Establishes the National Artificial Intelligence Research Resource (NAIRR) to democratize access to AI research resources and spur innovation.

Creates a NAIRR Steering Subcommittee chaired by the Director of the Office of Science and Technology Policy to oversee governance and resource allocation.

Mandates the National Science Foundation to establish a Program Management Office to coordinate day-to-day operations and compliance of the NAIRR.

Requires development of an Operating Entity through competitive processes to manage the NAIRR.

Ensures resources include computational resources, data repositories, educational tools, and AI testbeds.

Specifies criteria for user eligibility, emphasizing U.S.-based researchers and entities.

Imposes requirements and audits for privacy, ethics, civil rights, and security in AI research using NAIRR.

Allows establishment of a fee schedule with a free access tier to support research.

Ensures adherence to national security policies and scientific integrity standards.",,true,2024-10-22,https://www.congress.gov/bill/118th-congress/senate-bill/2714,false,,,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1723,National Standard of the People’s Republic of China: Cybersecurity Technology – Basic Safety Requirements for Generative Artificial Intelligence Services (Draft for Feedback),Basic Safety Requirements for Generative Artificial Intelligence Services (Draft Standard for Feedback),https://cset.georgetown.edu/wp-content/uploads/t0603_China_gen_AI_safety_standard_draft_EN.pdf,Other authorities,Chinese law and policy,Proposed,2024-05-17,2024-05-17,false,false,false,false,"Establishes safety requirements for generative AI services, covering training data security, model safety, and service provision. Requires data filtering, intellectual property management, personal information protection, and secure model output. Mandates transparency, user consent, and complaint handling mechanisms.","Establishes basic safety requirements for generative AI services, focusing on training data safety, model safety, and safety measures.

Requires service providers to conduct safety assessments and manage training data sources, ensuring data does not contain over 5% illegal content.

Mandates the verification of intellectual property rights and personal information consent before using data for training.

Stipulates regular security audits and monitoring of models to prevent malicious attacks and ensure content accuracy.

Obliges disclosure of service limitations, models, and personal data usage to users.

Demands the implementation of mechanisms for complaints and a backup strategy for service continuity.

Sets specific guidelines for minors, requiring parental controls and restrictions on unsuitable content.

Requires transparency in service provision, detailing applicable scenarios and user consent for data use in training.",,true,2024-12-05,https://cset.georgetown.edu/wp-content/uploads/t0603_China_gen_AI_safety_standard_draft_EN.pdf,false,,,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1721,Idaho House Bill 2472,"Idaho HB 2472 (Managed Care Reform and Patient Rights Act), Sec. 30",https://www.ilga.gov/legislation/BillStatus.asp?DocNum=2472&GAID=17&DocTypeID=HB&SessionID=112&GA=103,Idaho,U.S. state and local laws,Enacted,2024-07-19,2023-02-15,false,false,false,false,"Requires utilization review programs using algorithmic processes to ensure clinical peers make adverse determinations, comply with accreditation standards, and include policies for algorithm verification. Establishes registration every two years with proof of compliance. Sets appeal procedures for adverse determinations.","Amends the Managed Care Reform and Patient Rights Act to require utilization review programs using algorithmic automated processes to ensure that only clinical peers make adverse determinations based on medical necessity.

Mandates these programs to register with the Department of Insurance every two years and provide proof of compliance with Health Utilization Management Standards or equivalent standards.

Requires licensed physicians with relevant board certifications to establish criteria for these automated processes and verify their accuracy.

Obliges health care plans to have appeals procedures, allowing appeals to be filed orally or in writing, with decisions rendered within specified timeframes.

Ensures confidentiality of patient-specific information obtained during utilization reviews, restricting access to authorized individuals.

Permits adverse determination appeals to an external independent review, with potential further appeals to the Department if found arbitrary or capricious.

Authorizes the Department to issue corrective actions or cease and desist orders for non-compliance.",,true,2024-12-03,https://www.ilga.gov/legislation/publicacts/103/103-0656.htm,false,,,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
281,"A Bill in the District of Columbia to prohibit users of algorithmic decision-making from utilizing algorithmic eligibility determinations in a discriminatory manner, to require corresponding notices to individuals whose personal information is used, and to provide for appropriate means of civil enforcement.",Stop Discrimination by Algorithms Act of 2023,https://lims.dccouncil.gov/downloads/LIMS/52282/Introduction/B25-0114-Introduction.pdf?Id=155626,District of Columbia,U.S. state and local laws,Proposed,2023-02-10,2023-02-02,true,true,false,true,"Prohibits algorithms used to determine access to important opportunities (e.g., employment) or information about them in Washington D.C. from discriminating on the basis of protected classes; also mandates related algorithm audits, disclosures, and remedies for decisions made based on inaccurate data.","Prohibits entities in Washington D.C. from determining eligibility for, or access to information about, ""important life opportunities"" (e.g., housing or employment) on the basis of race, color, religion, national origin, sex, gender identity or expression, sexual orientation, familial status, source of income, or disability in a discriminatory manner.

Requires entities to provide a public notice describing any algorithmic tools they use to determine eligibility for, or access to information about, important life opportunities. The notice must be sent to any individual about whom such a determination is made.

Requires the notice described above to cover the data collected by algorithmic tools and how that data is shared externally, how that data informs the tool's decisions, and the rights provided under this act.

Requires entities to provide notice, to any individual against whom they take any adverse action (e.g., firing) on the basis of an algorithmic determination, that the individual may access and submit corrections to any personal information considered by the algorithm. A human must then redo the decision based on the corrected information.  

Requires entities to audit their algorithmic decision-making tools before deployment and annually thereafter to analyze discriminatory effects and other impacts, and then implement reasonable measures to address findings of unlawful disparate impact. Entities must submit a report on the audit to the DC government.

Permits affected individuals or the DC Attorney General to file a civil action in response to violations of this law, with fines up to $10,000 per violation.","Risk factors: Bias;Risk factors: Privacy;Risk factors: Transparency;Harms: Financial loss;Harms: Violation of civil or human rights, including privacy;Harms: Discrimination;Strategies: Evaluation;Strategies: Evaluation: Impact assessment;Strategies: Evaluation: Conformity assessment;Strategies: Evaluation: External auditing;Strategies: Evaluation: Post-market monitoring;Strategies: Disclosure;Strategies: Disclosure: In deployment;Strategies: Disclosure: About evaluation;Strategies: Disclosure: About incidents;Strategies: Disclosure: About inputs;Strategies: Disclosure: In standard form;Strategies: Governance development;Strategies: Performance requirements;Strategies: Tiering;Strategies: Tiering: Tiering based on planning ability;Strategies: Input controls;Strategies: Input controls: Data circulation;Incentives: Civil liability;Incentives: Fines;Applications: Finance and investment;Applications: Business services and analytics;Applications: Government: benefits and welfare",false,2024-12-05,https://lims.dccouncil.gov/downloads/LIMS/52282/Introduction/B25-0114-Introduction.pdf?Id=155626,false,,,14,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
175,Limited Applicability of Consumer Financial Protection Act's “Time or Space” Exception With Respect to Digital Marketing Providers,Limited Applicability of Consumer Financial Protection Act's “Time or Space” Exception With Respect to Digital Marketing Providers,https://www.federalregister.gov/documents/2022/08/17/2022-17699/limited-applicability-of-consumer-financial-protection-acts-time-or-space-exception-with-respect-to,Consumer Financial Protection Bureau,"U.S. regulations, executive orders, and agency policies;Enacted laws and policies",Enacted,2022-08-17,,true,true,false,true,"Clarifies Section 1002 of the Consumer Financial Protection Act of 2010's definition of ""service provider"" to include digital marketing providers that use algorithmic models or other analytics to commingle the targeting and delivery of advertisements to consumers.","Clarifies Section 1002 of the Consumer Financial Protection Act of 2010's definition of ""service provider"" to include digital marketing providers that use algorithmic models or other analytics to commingle the targeting and delivery of advertisements to consumers, rendering those providers subject to the Act's prohibition on unfair, deceptive, or abusive acts or practices.

Outlines the ways in which digital marketers provide additional services beyond ""time or space"" and are materially involved in the development of content strategy -- often through the use of targeting and delivering algorithms -- thus qualifying them as ""service providers"" under the law.

Outlines specific circumstances in which digital marketers are and are not considered service providers under the CFPA; they qualify as service providers when using algorithms and data to target and deliver advertisements with certain characteristics, or when using algorithms and business-specific data to determine when to display specific advertisements to specific consumers. ","Harms: Financial loss;Strategies: Government study or report;Strategies: Performance requirements;Applications: Sales, retail, and customer relations",false,2024-12-06,https://www.federalregister.gov/documents/2022/08/17/2022-17699/limited-applicability-of-consumer-financial-protection-acts-time-or-space-exception-with-respect-to,false,,,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1076,Israel's Policy on Artificial Intelligence: Regulations and Ethics,Israel's Policy on Artificial Intelligence: Regulations and Ethics,https://www.gov.il/BlobFolder/news/most-news20231218/en/Israels%20AI%20Policy%202023.pdf,Government of Israel,Miscellaneous documents,Enacted,2023-12-18,2023-12-18,false,false,false,false,"Promotes responsible AI innovation through sector-specific regulation, risk-based approaches, and ""soft"" regulatory tools. Establishes an AI Policy Coordination Center to advise and coordinate AI regulation, fostering international consistency. Recommends adopting ethical AI principles and creating tools for responsible AI development.","Establishes a governmental policy framework for AI regulation, emphasizing sector-specific regulation and consistency with international approaches.

Adopts a risk-based approach and promotes incremental development and regulatory experimentation.

Encourages the use of ""soft"" regulatory tools and multistakeholder cooperation.

Recommends adopting ethical AI principles based on the OECD AI Principles, focusing on growth, human-centric AI, equality, transparency, reliability, and accountability.

Proposes the creation of an AI Policy Coordination Center to advise regulators, promote inter-agency coordination, and lead international representation.

Mandates mapping AI uses and associated challenges in regulated sectors.

Calls for the establishment of forums for regulators and public participation to ensure coordination and open discussions.

Urges active involvement in international forums to develop AI regulation and standards.

Advocates developing tools for responsible AI, including a risk management framework.",,true,2024-11-05,https://www.gov.il/BlobFolder/news/most-news20231218/en/Israels%20AI%20Policy%202023.pdf,false,,,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1088,Initial advice on Generative Artificial Intelligence in the public service (New Zealand),Initial advice on Generative Artificial Intelligence in the public service (New Zealand),https://www.digital.govt.nz/assets/Standards-guidance/Technology-and-architecture/Generative-AI/Joint-System-Leads-tactical-guidance-on-public-service-use-of-GenAI-September-2023.pdf,Government of New Zealand,Miscellaneous documents,Enacted,2023-07-01,2023-07-01,false,false,false,false,"Advises New Zealand Public Service on cautious use of GenAI, emphasizing data privacy, security, and ethical considerations. Prohibits using GenAI with sensitive or personal data externally. Stresses governance, transparency, and collaboration, especially concerning Māori data and interests.","Prohibits the use of GenAI for data classified as SENSITIVE or higher, and personal information should not be input into external GenAI tools.

Recommends agencies avoid using GenAI for business-critical information, systems, or public-facing channels due to risks of inaccuracy and bias.

Advises against using GenAI as Shadow IT, emphasizing the need for robust governance and accountability in AI application.

Encourages agencies to develop GenAI policies, ensuring ethical use, and promoting transparency and accountability.

Emphasizes the importance of considering privacy risks, recommending privacy impact assessments and engagement with Māori communities regarding Māori data.

Warns of security risks, including insecure code generation and data spills, advising strong cybersecurity practices.

Urges agencies to remain transparent about GenAI usage, ensure human oversight, and validate AI outputs for accuracy.

Suggests using sandboxes for testing GenAI safely and advises on procurement principles to mitigate vendor-related risks. 

This guidance serves as an interim measure while longer-term AI regulatory frameworks are developed.",,true,2024-10-29,https://www.digital.govt.nz/assets/Standards-guidance/Technology-and-architecture/Generative-AI/Joint-System-Leads-tactical-guidance-on-public-service-use-of-GenAI-September-2023.pdf,false,,,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1152,"UN General Assembly Resolution A/78/L.49 (""Seizing the opportunities of safe, secure and trustworthy artificial intelligence systems for sustainable development""","UNGA Resolution A/78/L.49 (""Seizing the opportunities of safe, secure and trustworthy artificial intelligence systems for sustainable development""",https://digitallibrary.un.org/record/4040897?v=pdf&ln=en,United Nations,Multinational,Enacted,2024-03-11,2024-03-11,false,false,false,false,"Resolves to bridge AI and digital divides and promote safe, secure, and trustworthy AI systems to achieve the Sustainable Development Goals. Encourages regulatory frameworks, capacity building, and international cooperation. Emphasizes human rights, data governance, and inclusive participation in AI governance.","Resolves to bridge AI and digital divides globally and promote safe, secure, and trustworthy AI systems to achieve Sustainable Development Goals.

Encourages Member States and stakeholders to support regulatory frameworks for responsible AI, fostering innovation and equitable access to benefits.

Calls for cooperation to assist developing countries in accessing AI benefits through capacity building, digital literacy, and infrastructure.

Emphasizes the protection of human rights throughout AI systems' life cycles and urges cessation of AI use that violates international human rights law.

Promotes inclusive governance of AI, addressing global challenges while considering developing countries' needs.

Recognizes data's importance in AI development and urges fair data governance to harness AI potential for sustainable development.

Encourages continued international cooperation, research, and mapping of AI impacts to inform effective governance.

Calls upon UN entities to assess AI challenges and assist developing countries in capacity building for achieving Sustainable Development Goals.",,true,2024-12-05,https://documents.un.org/doc/undoc/ltd/n24/065/92/pdf/n2406592.pdf,false,,,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1543,California Assembly Bill 1831 (2024),California AB 19831 (Child Pornography Crimes),https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB1831,California,U.S. state and local laws,Enacted,2024-09-29,2024-01-12,false,false,false,false,"Prohibits the creation, distribution, possession, and exhibition of AI-generated child sexual assault material (CSAM) in California. Updates CSAM laws to include AI-generated depictions, imposing severe penalties. Aims to protect children from harm and exploitation through technological advancements.","Prohibits the creation, distribution, and possession of child sexual assault material (CSAM) generated by artificial intelligence (AI) in California.

Defines AI as a machine-based system capable of generating outputs that influence environments.

Amends California's Penal Code to include AI-generated CSAM as obscene matter, subject to legal penalties.

Classifies the distribution or possession of AI-generated CSAM depicting minors under 18 engaging in sexual conduct as a felony, punishable by imprisonment and fines.

Omits the necessity to prove commercial intent or obscenity for violations involving depictions of real minors.

Specifies enhanced penalties for repeat offenders and those using government-owned computers for CSAM-related offenses.

Exempts law enforcement, medical, scientific, educational activities, and lawful conduct between spouses from these provisions.

Requires revenue from fines to support sexual assault investigator training and services for human trafficking victims.

Becomes operative only if Senate Bill 1381 is enacted by January 1, 2025.",,true,2024-12-05,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1831,false,,,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1726,"Utah Senate Bill 149, Chapter 70","Utah SB 149, Chapter 70 (Artificial Intelligence Policy Act)",https://le.utah.gov/~2024/bills/static/SB0149.html,Utah,U.S. state and local laws,Enacted,2024-03-13,2024-01-26,false,false,false,false,"Establishes the Office of Artificial Intelligence Policy to oversee AI development. Creates an AI Learning Laboratory for research and regulatory evaluation. Permits regulatory mitigation agreements for AI testing. Criminalizes offenses committed with AI aid. Repeals the Act on May 1, 2025.","Establishes the Office of Artificial Intelligence Policy to oversee the AI Learning Laboratory Program, which analyzes AI technologies' risks, benefits, and regulatory implications.

Mandates the creation of regulatory mitigation agreements, allowing participants to operate under modified regulations while testing AI technologies.

Sets eligibility requirements for regulatory mitigation, including technical expertise, financial resources, and risk management plans.

Requires participants to report consumer harm, privacy breaches, or unauthorized data usage, with potential removal from the program for violations.

Allows an initial 12-month regulatory mitigation period, with a possible 12-month extension.

Defines using generative AI to commit offenses as a punishable act.

Specifies the program's repeal on May 1, 2025.

Takes effect on May 1, 2024.",,true,2024-12-06,https://le.utah.gov/~2024/bills/static/SB0149.html,false,,,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
