Document ID,Segment position,Text,Tags,Summary,Non-operative,Not AI-related,Segment annotated,Segment validated,Summaries and tags may include unreviewed machine output
1,1,"SEC. 1531. DIGITAL DEVELOPMENT INFRASTRUCTURE PLAN AND WORKING GROUP.

(a) Plan Required.--Not later than one year after the date of the enactment of this Act, the Secretary of Defense, acting through the working group established under subsection (d)(1), shall develop a plan for the establishment of a modern information technology infrastructure that supports state of the art tools and modern processes to enable effective and efficient development, testing, fielding, and continuous updating of artificial intelligence-capabilities.

(b) Contents of Plan.--The plan developed pursuant to subsection (a) shall include at a minimum the following:
	(1) A technical plan and guidance for necessary technical investments in the infrastructure described in subsection (a) that address critical technical issues, including issues relating to common interfaces, authentication, applications, platforms, software, hardware, and data infrastructure.
	(2) A governance structure, together with associated policies and guidance, to support the implementation throughout the Department of such plan.
	(3) Identification and minimum viable instantiations of prototypical development and platform environments with such infrastructure, including enterprise data sets assembled under subsection (e).

(c) Harmonization With Departmental Efforts.--The plan developed pursuant to subsection (a) shall include a description of the aggregated and consolidated financial and personnel requirements necessary to implement each of the following Department of Defense documents:
	(1) The Department of Defense Digital Modernization Strategy.
	(2) The Department of Defense Data Strategy.
	(3) The Department of Defense Cloud Strategy.
	(4) The Department of Defense Software Modernization Strategy.
	(5) The Department-wide software science and technology strategy required under section 255 of the National Defense Authorization Act for Fiscal Year 2020 (10 U.S.C. 2223a note).
	(6) The Department of Defense Artificial Intelligence Data Initiative.
	(7) The Joint All-Domain Command and Control Strategy.
	(8) Such other documents as the Secretary determines appropriate.
",,Requires the Secretary of Defense to develop a modern IT infrastructure plan for AI capabilities.,false,false,false,false,true
1,2,"(d) Working Group.--
	(1) Establishment.--Not later than 60 days after the date of the enactment of this Act, the Secretary of Defense shall establish a working group on digital development infrastructure implementation to develop the plan required under subsection (a).
	(2) Membership.--The working group established under paragraph (1) shall be composed of individuals selected by the Secretary of Defense to represent each of the following:
		(A) The Office of Chief Data Officer (CDO).
		(B) The Component Offices of Chief Information Officer and Chief Digital Officer.
		(C) The Joint Artificial Intelligence Center (JAIC).
		(D) The Office of the Under Secretary of Defense for Research & Engineering (OUSD (R&E)).
		(E) The Office of the Under Secretary of Defense for Acquisition & Sustainment (OUSD (A&S)).
		(F) The Office of the Under Secretary of Defense for Intelligence & Security (OUSD (I&S)).
		(G) Service Acquisition Executives.
		(H) The Office of the Director of Operational Test and Evaluation (DOT&E).
		(I) The office of the Director of the Defense Advanced Research Projects Agency (DARPA).
		(J) Digital development infrastructure programs, including the appropriate activities of the military services and defense agencies.
		(K) Such other officials of the Department of Defense as the Secretary determines appropriate.
	(3) Chairperson.--The chairperson of the working group established under paragraph (1) shall be the Chief Information Officer of the Department of Defense, or such other official as the Secretary of Defense considers appropriate.
	(4) Consultation.--The working group shall consult with such experts outside of the Department of Defense as the working group considers necessary to develop the plan required under subsection (a).
",,"Establishes a working group for digital infrastructure, requiring diverse Defense Department representation and external consultation.",false,false,false,false,true
1,3,"(e) Strategic Data Node.--To enable efficient access to enterprise data sets referred to in subsection (b)(3) for users with authorized access, the Secretary of Defense shall assemble such enterprise data sets in the following areas:
	(1) Human resources.
	(2) Budget and finance.
	(3) Acquisition.
	(4) Logistics.
	(5) Real estate.
	(6) Health care.
	(7) Such other areas as the Secretary considers appropriate.
",,Requires the Secretary of Defense to assemble enterprise data sets in specified operational areas.,false,false,false,false,true
1,4,"(f) Report.--Not later than 180 days after the date of the enactment of this Act, the Secretary of Defense shall submit to the congressional defense committees a report on the status of the development of the plan required under subsection (a).",,Requires the Secretary to report plan development status to congressional defense committees within 180 days.,false,false,false,false,true
2,1,"SEC. 226. REVIEW OF ARTIFICIAL INTELLIGENCE APPLICATIONS AND ESTABLISHMENT OF PERFORMANCE METRICS.

(a) In General.--Not later than 180 days after the date of the enactment of this Act, the Secretary of Defense shall--
	(1) review the potential applications of artificial intelligence and digital technology to the platforms, processes, and operations of the Department of Defense; and
	(2) establish performance objectives and accompanying metrics for the incorporation of artificial intelligence and digital readiness into such platforms, processes, and operations.
",,Requires the Secretary of Defense to review AI applications and establish performance metrics within 180 days.,false,false,false,false,true
2,2,"(b) Performance Objectives and Accompanying Metrics.--
	(1) Skill gaps.--In carrying out subsection (a), the Secretary of Defense shall require each Secretary of a military department and the heads of such other organizations and elements of the Department of Defense as the Secretary of Defense determines appropriate to--
		(A) conduct a comprehensive review and assessment of--
			(i) skill gaps in the fields of software development, software engineering, data science, and artificial intelligence;
			(ii) the qualifications of civilian personnel needed for both management and specialist tracks in such fields; and
			(iii) the qualifications of military personnel (officer and enlisted) needed for both management and specialist tracks in such fields; and
		(B) establish recruiting, training, and talent management performance objectives and accompanying metrics for achieving and maintaining staffing levels needed to fill identified gaps and meet the needs of the Department for skilled personnel.
	(2) AI modernization activities.--In carrying out subsection (a), the Secretary of Defense shall--
		(A) assess investment by the Department of Defense in artificial intelligence innovation, science and technology, and research and development;
		(B) assess investment by the Department in test and evaluation of artificial intelligence capabilities; and
		(C) establish performance objectives and accompanying metrics for artificial intelligence modernization activities of the Department.
	(3) Exercises, wargames, and experimentation.--In conjunction with the activities of the Secretary of Defense under subsection (a), the Chairman of the Joint Chiefs of Staff, in coordination with the Director of the Joint Artificial Intelligence Center, shall--
		(A) assess the integration of artificial intelligence into war-games, exercises, and experimentation; and
		(B) develop performance objectives and accompanying metrics for such integration.
	(4) Logistics and sustainment.--In carrying out subsection (a), the Secretary of Defense shall require the Under Secretary of Defense for Acquisition and Sustainment, with support from the Director of the Joint Artificial Intelligence Center, to--
		(A) assess the application of artificial intelligence in logistics and sustainment systems; and
		(B) establish performance objectives and accompanying metrics for integration of artificial intelligence in the Department of Defense logistics and sustainment enterprise.
	(5) Business applications.--In carrying out subsection (a), the Secretary of Defense shall require the Under Secretary of Defense (Comptroller), in coordination with the Director of the Joint Artificial Intelligence Center, to--
		(A) assess the integration of artificial intelligence for administrative functions that can be performed with robotic process automation and artificial intelligence-enabled analysis; and
		(B) establish performance objectives and accompanying metrics for the integration of artificial intelligence in priority business process areas of the Department of Defensee, including the following:
			(i) Human resources.
			(ii) Budget and finance, including audit.
			(iii) Retail.
			(iv) Real estate.
			(v) Health care.
			(vi) Logistics.
			(vii) Such other business processes as the Secretary considers appropriate.
",,"Requires comprehensive review of skill gaps, AI investments, and integration across military operations and business processes.",false,false,false,false,true
2,3,"(c) Report to Congress.--Not later than 120 days after the completion of the review required by subsection (a)(1), the Secretary of Defense shall submit to the congressional defense committees a report on--
	(1) the findings of the Secretary with respect to the review and any action taken or proposed to be taken by the Secretary to address such findings; and
	(2) the performance objectives and accompanying metrics established under subsections (a)(2) and (b).",,"Requires the Secretary of Defense to report findings, actions, objectives, and metrics to congressional defense committees.",false,false,false,false,true
3,1,"SEC. 227. MODIFICATION OF THE JOINT COMMON FOUNDATION PROGRAM.

(a) Modification of Joint Common Foundation.--The Secretary of Defense shall modify the Joint Common Foundation program conducted by the Joint Artificial Intelligence Center to ensure that Department of Defense components can more easily contract with leading commercial artificial intelligence companies to support the rapid and efficient development and deployment of applications and capabilities.
(b) Qualifying Commercial Companies.--The Secretary of Defense shall take such actions as may be necessary to increase the number of commercial artificial intelligence companies eligible to provide support to Department of Defense components, including with respect to requirements for cybersecurity protections and processes, to achieve automatic authority to operate and provide continuous delivery, security clearances, data portability, and interoperability.
(c) Use of FAR Part 12.--The Secretary of Defense shall ensure that, to the maximum extent practicable, commercial artificial intelligence companies are able to offer platforms, services, applications, and tools to Department of Defense components through processes and procedures under part 12 of the Federal Acquisition Regulation.",,Modifies the Joint Common Foundation for easier AI company contracts with the Department of Defense.,false,false,false,false,true
3,2,"(d) Objectives of the Joint Common Foundation Program.--The objectives of the Joint Common Foundation program shall include the following:
	(1) Relieving Department of Defense components of the need to design or develop or independently contract for the computing and data hosting platforms and associated services on and through which the component at issue would apply its domain expertise to develop specific artificial intelligence applications.
	(2) Providing expert guidance to components in selecting commercial platforms, tools, and services to support the development of component artificial intelligence applications.
	(3) Ensuring that leading commercial artificial intelligence technologies and capabilities are easily and rapidly accessible to components through streamlined contracting processes.
	(4) Assisting components in designing, developing, accessing, or acquiring commercial or non-commercial capabilities that may be needed to support the operational use of artificial intelligence applications.
	(5) Enabling companies to develop software for artificial intelligence applications within secure software development environments that are controlled, sponsored, required, or specified by the Department of Defense, including PlatformOne of the Department of the Air Force
(e) Briefing.--Not later than 120 days after the date of the enactment of this Act, the Secretary of Defense shall provide to the congressional defense committees a briefing on actions taken to carry out this section.",,Relieves Department of Defense from independently contracting for AI platforms and services.,false,false,false,false,true
4,1,"SEC. 232. PILOT PROGRAM ON DATA REPOSITORIES TO FACILITATE THE DEVELOPMENT OF ARTIFICIAL INTELLIGENCE CAPABILITIES FOR THE DEPARTMENT OF DEFENSE.

(a) Establishment of Data Repositories.--
The Secretary of Defense, acting through the Chief Data Officer of the Department of Defense and the Director of the Joint Artificial Intelligence Center (and such other officials as the Secretary determines appropriate), may carry out a pilot program under which the Secretary--
	(1) establishes data repositories containing Department of Defense data sets relevant to the development of artificial intelligence software and technology; and
	(2) allows appropriate public and private sector organizations to access such data repositories for the purpose of developing improved artificial intelligence and machine learning software capabilities that may, as determined appropriate by the Secretary, be procured by the Department to satisfy Department requirements and technology development goals.

(b) Elements.--If the Secretary of Defense carries out the pilot program under subsection (a), the data repositories established under the program--
	(1) may include unclassified training quality data sets and associated labels representative of diverse types of information, representing Department of Defense missions, business processes, and activities; and
	(2) shall--
		(A) be categorized and annotated to support development of a common evaluation framework for artificial intelligence models and other technical software solutions;
		(B) be made available to appropriate public and private sector organizations to support rapid development of software and artificial intelligence capabilities;
		(C) include capabilities and tool sets to detect, evaluate, and correct errors in data annotation, identify gaps in training data used in model development that would require additional data labeling, and evaluate model performance across the life cycle of the data repositories; and
		(D) be developed to support other missions and activities as determined by the Secretary.

(c) Briefing.--Not later than 270 days after the date of the enactment of this Act, the Secretary of Defense shall provide to the congressional defense committees a briefing on--
	(1) whether the Secretary intends to carry out the pilot program under this section;
	(2) if the Secretary does not intend to carry out the pilot program, an explanation of the reasons for such decision;
	(3) if the Secretary does intend to carry out the pilot program, or if the Secretary has already initiated the pilot program as of the date of the briefing--
		(A) the types of information the Secretary determines are feasible and advisable to include in the data repositories described in subsection (a); and
		(B) the progress of the Secretary in carrying out the program.",,Establishes data repositories for AI development; allows access for improved software capabilities for defense.,false,false,false,false,true
